servername,host availability %,
slc13425angxt01,99.99775985663082,
slb26669.srv.allianz,99.99775985663082,
slb25281.srv.allianz,99.99775985663082,
slb23387.srv.allianz,99.99775985663082,
sla95771ek8sc03.srv.allianz,99.99775985663082,
sla95647eevyc01.srv.allianz,99.99775985663082,
slc11032.srv.allianz,99.99738649940264,
slb26955.srv.allianz,99.99738649940264,
slb26885.srv.allianz,99.99738649940264,
sla99115.srv.allianz,99.99738649940264,
sla95777ek8sc01.srv.allianz,99.99738649940264,
slb27423.srv.allianz,99.99701314217444,
slb20639.srv.allianz,99.99663978494624,
slb27570.srv.allianz,99.99663978494623,
slb25056.srv.allianz,99.99663978494623,
sla98951ewmqc02.srv.allianz,99.99663978494623,
sla95667pevyd01.srv.allianz,99.99663978494623,
slc11813.srv.allianz,99.99626642771804,
slc11322,99.99626642771804,
slb27422.srv.allianz,99.99626642771804,
slb27421.srv.allianz,99.99626642771804,
slb26594pwmqt21.srv.allianz,99.99626642771804,
slb26593pwmqt23.srv.allianz,99.99626642771804,
slb26592pwmqt22.srv.allianz,99.99626642771804,
sla99121.srv.allianz,99.99626642771804,
sla96311PEVYT03.srv.allianz,99.99626642771804,
sla95645pevyt02.srv.allianz,99.99626642771804,
sla95644pevyt01.srv.allianz,99.99626642771804,
ELOMSP01.azlifem.azl.pvt,99.99589307048984,
slc11321,99.99551971326166,
slc11320,99.99551971326166,
slc11030.srv.allianz,99.99551971326166,
slb26692ercsc01.srv.allianz,99.99551971326166,
slb26691ercsc02.srv.allianz,99.99551971326166,
slb23388.srv.allianz,99.99551971326166,
slb21391PVCTT03.srv.allianz,99.99551971326166,
sla95767ek8sc02.srv.allianz,99.99551971326166,
plsplt02.azlifem.azl.pvt,99.99551971326166,
ELOGGP10.azlifem.azl.pvt,99.99551971326166,
slb23518.srv.allianz,99.99514635603346,
sla87581.srv.allianz,99.99514635603346,
aelarcbcp02.srv.allianz,99.99514635603346,
sla95575EELFC10.srv.allianz,99.99514635603344,
PLTLCD01.azlifem.azl.pvt,99.99514635603344,
PLOGGS11.azlifem.azl.pvt,99.99514635603344,
slb25049.srv.allianz,99.99477299880526,
slb23392.srv.allianz,99.99477299880526,
slb21392PVMSD15.srv.allianz,99.99477299880526,
sla88363.srv.allianz,99.99477299880526,
sla88353.srv.allianz,99.99477299880526,
plsplt03.srv.allianz,99.99477299880526,
plsplt01.azlifem.azl.pvt,99.99477299880526,
plomst01.azlifem.azl.pvt,99.99477299880526,
PLOGGT01.azlifem.azl.pvt,99.99477299880526,
ploggd11.srv.allianz,99.99477299880526,
slc13217AWMQT13.azlifem.azl.pvt,99.99439964157708,
slc12533,99.99439964157706,
slb26443p42ct12.srv.allianz,99.99439964157706,
slb25060.srv.allianz,99.99439964157706,
slb25054.srv.allianz,99.99439964157706,
sla98949ewmqc01.srv.allianz,99.99439964157706,
sla97633.srv.allianz,99.99439964157706,
plsplt04.srv.allianz,99.99439964157706,
ELOGGP01.azlifem.azl.pvt,99.99439964157706,
elappc35.azlifem.azl.pvt,99.99439964157706,
elappc34.azlifem.azl.pvt,99.99439964157706,
slc13006abawd01.srv.allianz,99.99402628434888,
slb22420.srv.allianz,99.99402628434886,
slb22150.srv.allianz,99.99402628434886,
slb20603PORCT02.srv.allianz,99.99402628434886,
sla88094.srv.allianz,99.99402628434886,
plapps34.azlifem.azl.pvt,99.99402628434886,
aplarclup03.srv.allianz,99.99402628434886,
sla88089.srv.allianz,99.99365292712068,
aelarclup03.srv.allianz,99.99365292712068,
slc12222,99.99327956989248,
slb26590e42cc11.srv.allianz,99.99327956989248,
slb26444p42ct11.srv.allianz,99.99327956989248,
sla88364.srv.allianz,99.99327956989248,
plspat01.srv.allianz,99.99327956989248,
PLAVMP02.azlifem.azl.pvt,99.99327956989248,
dlwasc41.azlifem.azl.pvt,99.99327956989248,
dlwasc40.azlifem.azl.pvt,99.99327956989248,
aplarcepp03.srv.allianz,99.99327956989248,
sla96543.srv.allianz,99.99290621,
slb21736.srv.allianz,99.99290621266428,
plappt34.azlifem.azl.pvt,99.99290621266428,
slc13007abawd02.srv.allianz,99.99253285543607,
slc12530,99.99253285543607,
slb23071.srv.allianz,99.99253285543607,
slb21737.srv.allianz,99.99253285543607,
ploggp12.srv.allianz,99.99253285543607,
slc11062.srv.allianz,99.99215949820788,
slb26060.srv.allianz,99.99215949820788,
plsplp08.srv.allianz,99.99215949820788,
ploggp01.azlifem.azl.pvt,99.99215949820788,
slc13830,99.99178614,
slc12531,99.99178614,
slc11061.srv.allianz,99.99178614,
sla22477.srv.allianz,99.99178614,
plsplp09.srv.allianz,99.99178614,
plsplp06.srv.allianz,99.99178614,
plspap01.srv.allianz,99.99178614,
slc11066.srv.allianz,99.99141278,
sla88130.srv.allianz,99.99141278,
aplarcbcp01.srv.allianz,99.99141278,
slc13764,99.99103942652332,
slb26472p42cp12.srv.allianz,99.99103942652332,
sla98032.srv.allianz,99.99103942652332,
aplarcbcp02.srv.allianz,99.99103942652332,
aelarcepp03.srv.allianz,99.99103942652332,
plsplp14.srv.allianz,99.99103943,
plsplp12.srv.allianz,99.99103943,
plsplp11.srv.allianz,99.99103943,
plsplp05.srv.allianz,99.99103943,
slc13272axltd01,99.99066607,
sla95576PELFP10.azlifem.azl.pvt,99.99066607,
sla88085.srv.allianz,99.99066607,
plsplp07.srv.allianz,99.99066607,
usn2xpy011ccpra.sma.cmsalz.ibm.allianz,99.99066606929509,
plappd34.azlifem.azl.pvt,99.99066606929509,
slb26471p42cp11.srv.allianz,99.99029271,
sla88040.srv.allianz,99.99029271,
plsplp13.srv.allianz,99.99029271,
aelarcbcp01.srv.allianz,99.99029271,
sla98574.srv.allianz,99.98991935,
sla88401.srv.allianz,99.98991935,
sla88097.srv.allianz,99.98991935,
sla87582.srv.allianz,99.98991935,
